Origin Document,File,Entity,Entity-Long,Section,Section Title,Part In Document,Description,Link,Symbol,Full Document Symbol,Source
PKM 26/27 (A/80/590),A_80_590.json,MINUSMA,United Nations Multidimensional Integrated Stabilization Mission in Mali,,Financing of the United Nations Multidimensional Integrated Stabilization Mission in Mali,Mandate performance,The mandate of MINUSMA was established by the Security Council in its resolution 2100 (2013) and extended in subsequent resolutions of the Council.,https://docs.un.org/en/S/RES/2100(2013),2100 (2013),S/RES/2100(2013),Security Council resolutions
PKM 26/27 (A/80/590),A_80_590.json,MINUSMA,United Nations Multidimensional Integrated Stabilization Mission in Mali,,Financing of the United Nations Multidimensional Integrated Stabilization Mission in Mali,Mandate performance,The mandate for the performance reporting period was provided by the Council in its resolution 2690 (2023).,https://docs.un.org/en/S/RES/2690(2023),2690 (2023),S/RES/2690(2023),Security Council resolutions
PKM 26/27 (A/80/590),A_80_590.json,MINUSMA,United Nations Multidimensional Integrated Stabilization Mission in Mali,,Financing of the United Nations Multidimensional Integrated Stabilization Mission in Mali,Mandate performance,"The Security Council, in paragraph 1 of resolution 2690 (2023), decided to terminate the mandate of MINUSMA under resolution 2640 (2022) as from 30 June 2023.",https://docs.un.org/en/S/RES/2690(2023),2690 (2023),S/RES/2690(2023),Security Council resolutions
PKM 26/27 (A/80/590),A_80_590.json,MINUSMA,United Nations Multidimensional Integrated Stabilization Mission in Mali,,Financing of the United Nations Multidimensional Integrated Stabilization Mission in Mali,Mandate performance,"The Security Council, in paragraph 1 of resolution 2690 (2023), decided to terminate the mandate of MINUSMA under resolution 2640 (2022) as from 30 June 2023.",https://docs.un.org/en/S/RES/2640(2022),2640 (2022),S/RES/2640(2022),Security Council resolutions
PKM 26/27 (A/80/596),A_80_596.json,UNDOF,United Nations Disengagement Observer Force,,Financing of the United Nations peacekeeping forces in the Middle East: United Nations Disengagement Observer Force,"Mandate, results achieved and planned outcome",The mandate of the United Nations Disengagement Observation Force (UNDOF) was established by the Security Council in its resolution 350 (1974).,https://docs.un.org/en/S/RES/350(1974),350 (1974),S/RES/350(1974),Security Council resolutions
PKM 26/27 (A/80/596),A_80_596.json,UNDOF,United Nations Disengagement Observer Force,,Financing of the United Nations peacekeeping forces in the Middle East: United Nations Disengagement Observer Force,"Mandate, results achieved and planned outcome",The mandate for the performance period was provided in its resolutions 2737 (2024) and 2766 (2024).,https://docs.un.org/en/S/RES/2737(2024),2737 (2024),S/RES/2737(2024),Security Council resolutions
PKM 26/27 (A/80/596),A_80_596.json,UNDOF,United Nations Disengagement Observer Force,,Financing of the United Nations peacekeeping forces in the Middle East: United Nations Disengagement Observer Force,"Mandate, results achieved and planned outcome",The mandate for the performance period was provided in its resolutions 2737 (2024) and 2766 (2024).,https://docs.un.org/en/S/RES/2766(2024),2766 (2024),S/RES/2766(2024),Security Council resolutions
PKM 26/27 (A/80/596),A_80_596.json,UNDOF,United Nations Disengagement Observer Force,,Financing of the United Nations peacekeeping forces in the Middle East: United Nations Disengagement Observer Force,"Mandate, results achieved and planned outcome","The most recent extension of the mandate was authorized by the Council in its resolution 2811 (2025), by which it extended the Force’s mandate until 30 June 2026.",https://docs.un.org/en/S/RES/2811(2025),2811 (2025),S/RES/2811(2025),Security Council resolutions
PKM 26/27 (A/80/600),A_80_600.json,MINURSO,United Nations Mission for the Referendum in Western Sahara,,Financing of the United Nations Mission for the Referendum in Western Sahara,"Mandate, results achieved and planned outcome",The mandate of the United Nations Mission for the Referendum in Western Sahara (MINURSO) was established by the Security Council in its resolution 690 (1991).,https://docs.un.org/en/S/RES/690(1991),690 (1991),S/RES/690(1991),Security Council resolutions
PKM 26/27 (A/80/600),A_80_600.json,MINURSO,United Nations Mission for the Referendum in Western Sahara,,Financing of the United Nations Mission for the Referendum in Western Sahara,"Mandate, results achieved and planned outcome",The mandate for the performance period was provided in its resolutions 2703 (2023) and 2756 (2024).,https://docs.un.org/en/S/RES/2703(2023),2703 (2023),S/RES/2703(2023),Security Council resolutions
PKM 26/27 (A/80/600),A_80_600.json,MINURSO,United Nations Mission for the Referendum in Western Sahara,,Financing of the United Nations Mission for the Referendum in Western Sahara,"Mandate, results achieved and planned outcome",The mandate for the performance period was provided in its resolutions 2703 (2023) and 2756 (2024).,https://docs.un.org/en/S/RES/2756(2024),2756 (2024),S/RES/2756(2024),Security Council resolutions
PKM 26/27 (A/80/600),A_80_600.json,MINURSO,United Nations Mission for the Referendum in Western Sahara,,Financing of the United Nations Mission for the Referendum in Western Sahara,"Mandate, results achieved and planned outcome","The most recent extension of the mandate was authorized by the Council in its resolution 2797 (2025), by which it extended the mandate until 31 October 2026.",https://docs.un.org/en/S/RES/2797(2025),2797 (2025),S/RES/2797(2025),Security Council resolutions
PKM 26/27 (A/80/600),A_80_600.json,MINURSO,United Nations Mission for the Referendum in Western Sahara,,Financing of the United Nations Mission for the Referendum in Western Sahara,"Mandate, results achieved and planned outcome","During the 2024/25 period, the Office of Internal Oversight Services conducted an evaluation of MINURSO (IED-24-020) in accordance with General Assembly resolution 48/218 B.",https://docs.un.org/en/A/RES/48/218B,48/218,A/RES/48/218B,General Assembly resolutions
PKM 26/27 (A/80/605),A_80_605.json,UNLB,United Nations Logistics Base at Brindisi,,,"Mandate, results achieved and planned outcome","In its resolution 49/233 A of 23 December 1994, the General Assembly welcomed the establishment of the first permanent United Nations logistics base in Brindisi, Italy, to support peacekeeping operations.",https://docs.un.org/en/A/RES/49/233,49/233,A/RES/49/233,General Assembly resolutions
PKM 26/27 (A/80/605),A_80_605.json,UNLB,United Nations Logistics Base at Brindisi,,,"Mandate, results achieved and planned outcome","Subsequently, in its resolution 63/262 of 24 December 2008, the General Assembly approved the establishment of site B, in Valencia, Spain, as a secondary active telecommunications and information technology facility to strengthen operational resilience and ensure business continuity in support of peacekeeping activities.",https://docs.un.org/en/A/RES/63/262,63/262,A/RES/63/262,General Assembly resolutions
