Origin Document,Part In Document,File,Addendum,Part,Section,Section Title,Entity-Long,Entity,Programme,Programme Title,Subprogramme,Description,Link,Symbol,Full Document Symbol,Source
PPB 2027,Legislative mandates,A_81_6 (SECT. 2).json,,I,2,General Assembly and Economic and Social Council affairs and conference management,Department for General Assembly and Conference Management,DGACM,1.0,General assembly and economic and social council affairs and conference management,,Pattern of conferences,https://docs.un.org/en/A/RES/43/222,43/222,A/RES/43/222,General Assembly resolutions
PPB 2027,Legislative mandates,A_81_6 (SECT. 2).json,,I,2,General Assembly and Economic and Social Council affairs and conference management,Department for General Assembly and Conference Management,DGACM,1.0,General assembly and economic and social council affairs and conference management,,Pattern of conferences,https://docs.un.org/en/A/RES/80/234,80/234,A/RES/80/234,General Assembly resolutions
PPB 2027,Legislative mandates,A_81_6 (SECT. 2).json,,I,2,General Assembly and Economic and Social Council affairs and conference management,Department for General Assembly and Conference Management,DGACM,1.0,General assembly and economic and social council affairs and conference management,,Revitalization of the work of the General Assembly,https://docs.un.org/en/A/RES/46/77,46/77,A/RES/46/77,General Assembly resolutions
PPB 2027,Legislative mandates,A_81_6 (SECT. 2).json,,I,2,General Assembly and Economic and Social Council affairs and conference management,Department for General Assembly and Conference Management,DGACM,1.0,General assembly and economic and social council affairs and conference management,,Revitalization of the work of the General Assembly,https://docs.un.org/en/A/RES/79/327,79/327,A/RES/79/327,General Assembly resolutions
PPB 2027,Legislative mandates,A_81_6 (SECT. 2).json,,I,2,General Assembly and Economic and Social Council affairs and conference management,Department for General Assembly and Conference Management,DGACM,1.0,General assembly and economic and social council affairs and conference management,,Multilingualism,https://docs.un.org/en/A/RES/50/11,50/11,A/RES/50/11,General Assembly resolutions
PPB 2027,Legislative mandates,A_81_6 (SECT. 2).json,,I,2,General Assembly and Economic and Social Council affairs and conference management,Department for General Assembly and Conference Management,DGACM,1.0,General assembly and economic and social council affairs and conference management,,Multilingualism,https://docs.un.org/en/A/RES/78/330,78/330,A/RES/78/330,General Assembly resolutions
PPB 2027,Legislative mandates,A_81_6 (SECT. 2).json,,I,2,General Assembly and Economic and Social Council affairs and conference management,Department for General Assembly and Conference Management,DGACM,1.0,General assembly and economic and social council affairs and conference management,,Questions relating to the proposed programme budget for 2026,https://docs.un.org/en/A/RES/80/242,80/242,A/RES/80/242,General Assembly resolutions
PPB 2027,Legislative mandates,A_81_6 (SECT. 2).json,,I,2,General Assembly and Economic and Social Council affairs and conference management,Department for General Assembly and Conference Management,DGACM,1.0,General assembly and economic and social council affairs and conference management,"Conference management, New York",Rules of procedure of the General Assembly,https://docs.un.org/en/A/520/Rev.21,A/520/Rev.21,A/520/REV.21,General Assembly mandate
PPB 2027,Legislative mandates,A_81_6 (SECT. 2).json,,I,2,General Assembly and Economic and Social Council affairs and conference management,Department for General Assembly and Conference Management,DGACM,1.0,General assembly and economic and social council affairs and conference management,"Conference management, New York",Rules of procedure of the Economic and Social Council,https://docs.un.org/en/E/5715/Rev.2,E/5715/Rev.2,E/5715/REV.2,Economic and Social Council mandate
PPB 2027,Legislative mandates,A_81_6 (SECT. 2).json,,I,2,General Assembly and Economic and Social Council affairs and conference management,Department for General Assembly and Conference Management,DGACM,1.0,General assembly and economic and social council affairs and conference management,"Conference management, New York",Provisional rules of procedure of the Security Council,https://docs.un.org/en/S/96/Rev.7,S/96/Rev.7,S/96/REV.7,Security Council mandate
PPB 2027,Legislative mandates,A_81_6 (SECT. 2).json,,I,2,General Assembly and Economic and Social Council affairs and conference management,Department for General Assembly and Conference Management,DGACM,1.0,General assembly and economic and social council affairs and conference management,"Conference management, Geneva",Establishment of an International Law Commission,https://docs.un.org/en/A/RES/174(II),174 (II),A/RES/174(II),General Assembly resolutions
PPB 2027,Legislative mandates,A_81_6 (SECT. 2).json,,I,2,General Assembly and Economic and Social Council affairs and conference management,Department for General Assembly and Conference Management,DGACM,1.0,General assembly and economic and social council affairs and conference management,"Conference management, Geneva",International assistance to refugees within the mandate of the United Nations High Commissioner for Refugees,https://docs.un.org/en/A/RES/1166(XII),1166 (XII),A/RES/1166(XII),General Assembly resolutions
PPB 2027,Legislative mandates,A_81_6 (SECT. 2).json,,I,2,General Assembly and Economic and Social Council affairs and conference management,Department for General Assembly and Conference Management,DGACM,1.0,General assembly and economic and social council affairs and conference management,"Conference management, Geneva",United Nations Framework Convention on Climate Change,https://docs.un.org/en/A/RES/48/189,48/189,A/RES/48/189,General Assembly resolutions
PPB 2027,Legislative mandates,A_81_6 (SECT. 2).json,,I,2,General Assembly and Economic and Social Council affairs and conference management,Department for General Assembly and Conference Management,DGACM,1.0,General assembly and economic and social council affairs and conference management,"Conference management, Geneva",International trade and development,https://docs.un.org/en/A/RES/60/184,60/184,A/RES/60/184,General Assembly resolutions
PPB 2027,Legislative mandates,A_81_6 (SECT. 2).json,,I,2,General Assembly and Economic and Social Council affairs and conference management,Department for General Assembly and Conference Management,DGACM,1.0,General assembly and economic and social council affairs and conference management,"Conference management, Geneva",Human Rights Council,https://docs.un.org/en/A/RES/60/251,60/251,A/RES/60/251,General Assembly resolutions
PPB 2027,Legislative mandates,A_81_6 (SECT. 2).json,,I,2,General Assembly and Economic and Social Council affairs and conference management,Department for General Assembly and Conference Management,DGACM,1.0,General assembly and economic and social council affairs and conference management,"Conference management, Geneva","Implementation of the United Nations Convention to Combat Desertification in Those Countries Experiencing Serious Drought and/or Desertification, Particularly in Africa",https://docs.un.org/en/A/RES/62/193,62/193,A/RES/62/193,General Assembly resolutions
PPB 2027,Legislative mandates,A_81_6 (SECT. 2).json,,I,2,General Assembly and Economic and Social Council affairs and conference management,Department for General Assembly and Conference Management,DGACM,1.0,General assembly and economic and social council affairs and conference management,"Conference management, Geneva","Implementation of the United Nations Convention to Combat Desertification in Those Countries Experiencing Serious Drought and/or Desertification, Particularly in Africa",https://docs.un.org/en/A/RES/66/201,66/201,A/RES/66/201,General Assembly resolutions
PPB 2027,Legislative mandates,A_81_6 (SECT. 2).json,,I,2,General Assembly and Economic and Social Council affairs and conference management,Department for General Assembly and Conference Management,DGACM,1.0,General assembly and economic and social council affairs and conference management,"Conference management, Geneva",Report of the Human Rights Council,https://docs.un.org/en/A/RES/63/160,63/160,A/RES/63/160,General Assembly resolutions
