symbol,link,mandate_description,mandate_source,subprogramme,entity-long,part_in_document,part,section,section_title,programme,programme_title,subprogramme_title,file,addendum,entity,origin_document,full_document_symbol
Article 13,,"8.I.2	The mandate derives from Articles 13, 98, 102, 104, 105 and other relevant provisions of the Charter of the United Nations, as well as the priorities established in relevant General Assembly resolutions, including resolution 13 (I) of 13 February 1946, as the central legal service for the Organization (including funds and programmes and treaty bodies institutionally linked to the Organization).",Charter of the United Nations,,Office of Legal Affairs,Mandates and background (LLM),III,8,Legal affairs,6.0,Legal affairs,,A_81_6 (SECT. 8).json,,OLA,PPB 2027,
Article 98,,"8.I.2	The mandate derives from Articles 13, 98, 102, 104, 105 and other relevant provisions of the Charter of the United Nations, as well as the priorities established in relevant General Assembly resolutions, including resolution 13 (I) of 13 February 1946, as the central legal service for the Organization (including funds and programmes and treaty bodies institutionally linked to the Organization).",Charter of the United Nations,,Office of Legal Affairs,Mandates and background (LLM),III,8,Legal affairs,6.0,Legal affairs,,A_81_6 (SECT. 8).json,,OLA,PPB 2027,
Article 102,,"8.I.2	The mandate derives from Articles 13, 98, 102, 104, 105 and other relevant provisions of the Charter of the United Nations, as well as the priorities established in relevant General Assembly resolutions, including resolution 13 (I) of 13 February 1946, as the central legal service for the Organization (including funds and programmes and treaty bodies institutionally linked to the Organization).",Charter of the United Nations,,Office of Legal Affairs,Mandates and background (LLM),III,8,Legal affairs,6.0,Legal affairs,,A_81_6 (SECT. 8).json,,OLA,PPB 2027,
Article 104,,"8.I.2	The mandate derives from Articles 13, 98, 102, 104, 105 and other relevant provisions of the Charter of the United Nations, as well as the priorities established in relevant General Assembly resolutions, including resolution 13 (I) of 13 February 1946, as the central legal service for the Organization (including funds and programmes and treaty bodies institutionally linked to the Organization).",Charter of the United Nations,,Office of Legal Affairs,Mandates and background (LLM),III,8,Legal affairs,6.0,Legal affairs,,A_81_6 (SECT. 8).json,,OLA,PPB 2027,
Article 105,,"8.I.2	The mandate derives from Articles 13, 98, 102, 104, 105 and other relevant provisions of the Charter of the United Nations, as well as the priorities established in relevant General Assembly resolutions, including resolution 13 (I) of 13 February 1946, as the central legal service for the Organization (including funds and programmes and treaty bodies institutionally linked to the Organization).",Charter of the United Nations,,Office of Legal Affairs,Mandates and background (LLM),III,8,Legal affairs,6.0,Legal affairs,,A_81_6 (SECT. 8).json,,OLA,PPB 2027,
32/197,,"The mandates of the Office, ECA and the Department derive from the priorities established in relevant resolutions and decisions, including General Assembly resolutions 32/197, 57/7, 57/300, 61/296, 66/293 and 76/236 and Economic and Social Council resolutions 671 (XXV) A and 1998/46.",General Assembly,,Office of the Special Adviser on Africa,Mandates and background (LLM),IV,11,United Nations system support for the African Union’s Agenda 2063: The Africa We Want,9.0,,,A_81_6 (SECT. 11).json,,OSAA,PPB 2027,
671 (XXV) A,,"The mandates of the Office, ECA and the Department derive from the priorities established in relevant resolutions and decisions, including General Assembly resolutions 32/197, 57/7, 57/300, 61/296, 66/293 and 76/236 and Economic and Social Council resolutions 671 (XXV) A and 1998/46.",Economic and Social Council,,Office of the Special Adviser on Africa,Mandates and background (LLM),IV,11,United Nations system support for the African Union’s Agenda 2063: The Africa We Want,9.0,,,A_81_6 (SECT. 11).json,,OSAA,PPB 2027,
1998/46,,"The mandates of the Office, ECA and the Department derive from the priorities established in relevant resolutions and decisions, including General Assembly resolutions 32/197, 57/7, 57/300, 61/296, 66/293 and 76/236 and Economic and Social Council resolutions 671 (XXV) A and 1998/46.",Economic and Social Council,,Office of the Special Adviser on Africa,Mandates and background (LLM),IV,11,United Nations system support for the African Union’s Agenda 2063: The Africa We Want,9.0,,,A_81_6 (SECT. 11).json,,OSAA,PPB 2027,
19/1,,"The mandate derives primarily from the priorities established in General Assembly resolution 2997 (XXVII), decision 19/1 of the Governing Council of UNEP and the Nairobi Declaration on the Role and Mandate of the United Nations Environment Programme, which the Assembly endorsed in 1997 in the annex to its resolution S-19/2 and further reaffirmed in its resolutions 53/242, in 1999, and 66/288 and 67/213, in 2012.",Governing Council of UNEP,,United Nations Environment Programme,Mandates and background (LLM),IV,14,Environment,11.0,Environment,,A_81_6 (SECT. 14).json,,UNEP,PPB 2027,
73/9,,"The work of ESCAP is further guided by General Assembly resolutions, global development frameworks and the regional road map for implementing the 2030 Agenda for Sustainable Development in Asia and the Pacific, endorsed by the Commission in its resolution 73/9, which serve as reference frameworks.",ESCAP,,Economic and Social Commission for Asia and the Pacific,Mandates and background (LLM),V,19,Economic and social development in Asia and the Pacific,16.0,Economic and social development in asia and the pacific,,A_81_6 (SECT. 19).json,,ESCAP,PPB 2027,
553 (XXVI),,"In 1996, pursuant to ECLAC resolution 553 (XXVI), the Commission decided, inter alia, to collaborate with member States in the comprehensive analysis of development processes geared towards the design, monitoring and evaluation of public policies and the resulting provision of operational services in the fields of specialized information, advisory services, training and support for regional and international cooperation and coordination.",ECLAC,,Economic Commission for Latin America and the Caribbean,Mandates and background (LLM),V,21,Economic and social development in Latin America and the Caribbean,18.0,Economic and social development in latin america and the caribbean,,A_81_6 (SECT. 21).json,,ECLAC,PPB 2027,
2001/321,,"The mandate of CEB derives from the priorities established in relevant General Assembly and Economic and Social Council resolutions and decisions, including Council resolution 13 (III) and decision 2001/321.",Economic and Social Council,,United Nations System Chief Executives Board for Coordination,Mandates and background (LLM),X,31,Jointly financed administrative activities,27.0,Jointly financed activities,,A_81_6 (SECT. 31).json,,CEB,PPB 2027,
