full_document_symbol,origin_document,part_in_document,priority_area,link,symbol
A/RES/79/145,Plan Outline 2026-2028,Plan Outline,Promotion of justice and international law,https://docs.un.org/en/A/RES/79/145,79/145
A/RES/56/210 B,Plan Outline 2026-2028,Plan Outline,Promotion of sustained economic growth and sustainable development,https://docs.un.org/en/A/RES/56/210B,56/210 B
A/RES/76/240,Plan Outline 2026-2028,Plan Outline,Effective functioning of the organization,https://docs.un.org/en/A/RES/76/240,76/240
A/RES/79/248,Plan Outline 2026-2028,Plan Outline,Effective functioning of the organization,https://docs.un.org/en/A/RES/79/248,79/248
A/RES/79/234,Plan Outline 2026-2028,Plan Outline,"Drug control, crime prevention and combating terrorism",https://docs.un.org/en/A/RES/79/234,79/234
A/RES/58/4,Plan Outline 2026-2028,Plan Outline,"Drug control, crime prevention and combating terrorism",https://docs.un.org/en/A/RES/58/4,58/4
A/RES/69/313,Plan Outline 2026-2028,Plan Outline,Promotion of sustained economic growth and sustainable development,https://docs.un.org/en/A/RES/69/313,69/313
E/2018/64,Plan Outline 2026-2028,Plan Outline,Promotion of sustained economic growth and sustainable development,https://docs.un.org/en/E/2018/64,E/2018/64
S/RES/2719 (2023),Plan Outline 2026-2028,Plan Outline,Maintenance of international peace and security,https://docs.un.org/en/S/RES/2719(2023),2719 (2023)
A/RES/79/1,Plan Outline 2026-2028,Plan Outline,Promotion of sustained economic growth and sustainable development,https://docs.un.org/en/A/RES/79/1,79/1
A/RES/79/252 A-B,Plan Outline 2026-2028,Plan Outline,Effective functioning of the organization,https://docs.un.org/en/A/RES/79/252 A–B,79/252
A/RES/79/93 A–B,Plan Outline 2026-2028,Plan Outline,Effective functioning of the organization,https://docs.un.org/en/A/RES/79/93 A–B,79/93
A/RES/79/238,Plan Outline 2026-2028,Plan Outline,Disarmament,https://docs.un.org/en/A/RES/79/238,79/238
E/RES/2006/24,Plan Outline 2026-2028,Plan Outline,"Drug control, crime prevention and combating terrorism",https://docs.un.org/en/E/RES/2006/24,2006/24
A/RES/79/227,Plan Outline 2026-2028,Plan Outline,Promotion of sustained economic growth and sustainable development,https://docs.un.org/en/A/RES/79/227,79/227
S/RES/2447 (2018),Plan Outline 2026-2028,Plan Outline,"Drug control, crime prevention and combating terrorism",https://docs.un.org/en/S/RES/2447(2018),2447 (2018)
A/RES/S-21/2,Plan Outline 2026-2028,Plan Outline,Promotion of sustained economic growth and sustainable development,https://docs.un.org/en/A/RES/S-21/2,S-21/2
A/RES/72/262 C,Plan Outline 2026-2028,Plan Outline,Maintenance of international peace and security,https://docs.un.org/en/A/RES/72/262C,72/262 C
A/RES/79/59,Plan Outline 2026-2028,Plan Outline,Disarmament,https://docs.un.org/en/A/RES/79/59,79/59
A/RES/72/311,Plan Outline 2026-2028,Plan Outline,Development of Africa,https://docs.un.org/en/A/RES/72/311,72/311
A/RES/77/278,Plan Outline 2026-2028,Plan Outline,Effective functioning of the organization,https://docs.un.org/en/A/RES/77/278,77/278
A/RES/76/213,Plan Outline 2026-2028,Plan Outline,Development of Africa,https://docs.un.org/en/A/RES/76/213,76/213
A/RES/79/40,Plan Outline 2026-2028,Plan Outline,Disarmament,https://docs.un.org/en/A/RES/79/40,79/40
A/RES/78/182,Plan Outline 2026-2028,Plan Outline,Effective functioning of the organization,https://docs.un.org/en/A/RES/78/182,78/182
A/RES/79/149,Plan Outline 2026-2028,Plan Outline,Effective functioning of the organization,https://docs.un.org/en/A/RES/79/149,79/149
UN Charter Article 1,Plan Outline 2026-2028,Plan Outline,Maintenance of international peace and security,https://www.un.org/en/about-us/un-charter/full-text,Article 1
UNEP/EA.6/RES.9,Plan Outline 2026-2028,Plan Outline,Promotion of sustained economic growth and sustainable development,https://docs.un.org/en/UNEP/EA.6/RES.9,6/9
A/RES/77/211,Plan Outline 2026-2028,Plan Outline,Effective functioning of the organization,https://docs.un.org/en/A/RES/77/211,77/211
A/RES/78/182,Plan Outline 2026-2028,Plan Outline,Promotion of sustained economic growth and sustainable development,https://docs.un.org/en/A/RES/78/182,78/182
A/RES/69/283,Plan Outline 2026-2028,Plan Outline,Effective coordination of humanitarian assistance efforts,https://docs.un.org/en/A/RES/69/283,69/283
A/RES/70/262,Plan Outline 2026-2028,Plan Outline,Maintenance of international peace and security,https://docs.un.org/en/A/RES/70/262,70/262
A/RES/S-32/1,Plan Outline 2026-2028,Plan Outline,"Drug control, crime prevention and combating terrorism",https://docs.un.org/en/A/RES/S-32/1,S-32/1
A/RES/78/1,Plan Outline 2026-2028,Plan Outline,Promotion of sustained economic growth and sustainable development,https://docs.un.org/en/A/RES/78/1,78/1
S/RES/2518 (2020),Plan Outline 2026-2028,Plan Outline,Maintenance of international peace and security,https://docs.un.org/en/S/RES/2518(2020),2518 (2020)
A/RES/77/267,Plan Outline 2026-2028,Plan Outline,Effective functioning of the organization,https://docs.un.org/en/A/RES/77/267,77/267
A/RES/79/218,Plan Outline 2026-2028,Plan Outline,Promotion of sustained economic growth and sustainable development,https://docs.un.org/en/A/RES/79/218,79/218
A/RES/78/265,Plan Outline 2026-2028,Plan Outline,Effective functioning of the organization,https://docs.un.org/en/A/RES/78/265,78/265
A/RES/71/228,Plan Outline 2026-2028,Plan Outline,Promotion of sustained economic growth and sustainable development,https://docs.un.org/en/A/RES/71/228,71/228
A/RES/S-10/2,Plan Outline 2026-2028,Plan Outline,Disarmament,https://docs.un.org/en/A/RES/S-10/2,S-10/2
A/RES/78/229,Plan Outline 2026-2028,Plan Outline,"Drug control, crime prevention and combating terrorism",https://docs.un.org/en/A/RES/78/229,78/229
A/RES/S-23/2,Plan Outline 2026-2028,Plan Outline,Promotion of sustained economic growth and sustainable development,https://docs.un.org/en/A/RES/S-23/2,S-23/2
A/HRC/RES/47/21,Plan Outline 2026-2028,Plan Outline,Promotion and protection of human rights,https://docs.un.org/en/A/HRC/RES/47/21,47/21
A/RES/74/4,Plan Outline 2026-2028,Plan Outline,Promotion of sustained economic growth and sustainable development,https://docs.un.org/en/A/RES/74/4,74/4
A/RES/79/160,Plan Outline 2026-2028,Plan Outline,Promotion and protection of human rights,https://docs.un.org/en/A/RES/79/160,79/160
A/RES/46/182,Plan Outline 2026-2028,Plan Outline,Effective coordination of humanitarian assistance efforts,https://docs.un.org/en/A/RES/46/182,46/182
A/RES/75/327,Plan Outline 2026-2028,Plan Outline,Development of Africa,https://docs.un.org/en/A/RES/75/327,75/327
S/RES/2719 (2023),Plan Outline 2026-2028,Plan Outline,Development of Africa,https://docs.un.org/en/S/RES/2719(2023),2719 (2023)
A/RES/79/241,Plan Outline 2026-2028,Plan Outline,Disarmament,https://docs.un.org/en/A/RES/79/241,79/241
A/RES/79/206,Plan Outline 2026-2028,Plan Outline,Promotion of sustained economic growth and sustainable development,https://docs.un.org/en/A/RES/79/206,79/206
A/RES/79/134,Plan Outline 2026-2028,Plan Outline,Disarmament,https://docs.un.org/en/A/RES/79/134,79/134
A/RES/76/4,Plan Outline 2026-2028,Plan Outline,Promotion of sustained economic growth and sustainable development,https://docs.un.org/en/A/RES/76/4,76/4
S/RES/1820(2008),Plan Outline 2026-2028,Plan Outline,Maintenance of international peace and security,https://docs.un.org/en/S/RES/1820(2008),1820 (2008)
A/RES/77/223,Plan Outline 2026-2028,Plan Outline,Promotion and protection of human rights,https://docs.un.org/en/A/RES/77/223,77/223
A/RES/79/34,Plan Outline 2026-2028,Plan Outline,Disarmament,https://docs.un.org/en/A/RES/79/34,79/34
A/RES/69/15,Plan Outline 2026-2028,Plan Outline,Promotion of sustained economic growth and sustainable development,https://docs.un.org/en/A/RES/69/15,69/15
A/RES/76/1,Plan Outline 2026-2028,Plan Outline,Promotion and protection of human rights,https://docs.un.org/en/A/RES/76/1,76/1
A/RES/70/1,Plan Outline 2026-2028,Plan Outline,Effective coordination of humanitarian assistance efforts,https://docs.un.org/en/A/RES/70/1,70/1
A/RES/76/205,Plan Outline 2026-2028,Plan Outline,Development of Africa,https://docs.un.org/en/A/RES/76/205,76/205
A/RES/73/232,Plan Outline 2026-2028,Plan Outline,Promotion of sustained economic growth and sustainable development,https://docs.un.org/en/A/RES/73/232,73/232
S/RES/2417 (2018),Plan Outline 2026-2028,Plan Outline,Maintenance of international peace and security,https://docs.un.org/en/S/RES/2417(2018),2417 (2018)
A/RES/73/195,Plan Outline 2026-2028,Plan Outline,Promotion of sustained economic growth and sustainable development,https://docs.un.org/en/A/RES/73/195,73/195
A/RES/79/138,Plan Outline 2026-2028,Plan Outline,Effective coordination of humanitarian assistance efforts,https://docs.un.org/en/A/RES/79/138,79/138
A/RES/77/280,Plan Outline 2026-2028,Plan Outline,Effective functioning of the organization,https://docs.un.org/en/A/RES/77/280,77/280
A/RES/69/283,Plan Outline 2026-2028,Plan Outline,Development of Africa,https://docs.un.org/en/A/RES/69/283,69/283
A/RES/71/312,Plan Outline 2026-2028,Plan Outline,Promotion of sustained economic growth and sustainable development,https://docs.un.org/en/A/RES/71/312,71/312
A/RES/78/31,Plan Outline 2026-2028,Plan Outline,Disarmament,https://docs.un.org/en/A/RES/78/31,78/31
A/RES/69/313,Plan Outline 2026-2028,Plan Outline,Development of Africa,https://docs.un.org/en/A/RES/69/313,69/313
A/RES/79/195,Plan Outline 2026-2028,Plan Outline,Promotion of sustained economic growth and sustainable development,https://docs.un.org/en/A/RES/79/195,79/195
S/RES/2282 (2016),Plan Outline 2026-2028,Plan Outline,Maintenance of international peace and security,https://docs.un.org/en/S/RES/2282(2016),"2282
(2016)"
A/RES/78/185,Plan Outline 2026-2028,Plan Outline,Effective coordination of humanitarian assistance efforts,https://docs.un.org/en/A/RES/78/185,78/185
A/RES/73/281,Plan Outline 2026-2028,Plan Outline,Effective functioning of the organization,https://docs.un.org/en/A/RES/73/281,73/281
A/RES/78/205,Plan Outline 2026-2028,Plan Outline,Effective coordination of humanitarian assistance efforts,https://docs.un.org/en/A/RES/78/205,78/205
A/RES/75/322,Plan Outline 2026-2028,Plan Outline,Promotion of sustained economic growth and sustainable development,https://docs.un.org/en/A/RES/75/322,75/322
S/RES/2553 (2020),Plan Outline 2026-2028,Plan Outline,Maintenance of international peace and security,https://docs.un.org/en/S/RES/2553(2020),2553 (2020)
A/RES/77/298,Plan Outline 2026-2028,Plan Outline,"Drug control, crime prevention and combating terrorism",https://docs.un.org/en/A/RES/77/298,77/298
A/RES/79/58,Plan Outline 2026-2028,Plan Outline,Disarmament,https://docs.un.org/en/A/RES/79/58,79/58
UN Charter Article 98,Plan Outline 2026-2028,Plan Outline,Promotion of justice and international law,https://www.un.org/en/about-us/un-charter/full-text,Article 98
FCCC/CP/2015/10/ADD.1,Plan Outline 2026-2028,Plan Outline,Promotion of sustained economic growth and sustainable development,https://docs.un.org/en/FCCC/CP/2015/10/Add.1,FCCC/CP/2015/10/Add.1
A/RES/67/1,Plan Outline 2026-2028,Plan Outline,Promotion and protection of human rights,https://docs.un.org/en/A/RES/67/1,67/1
A/RES/59/311,Plan Outline 2026-2028,Plan Outline,Promotion of sustained economic growth and sustainable development,https://docs.un.org/en/A/RES/59/311,59/311
S/RES/2272 (2016),Plan Outline 2026-2028,Plan Outline,Maintenance of international peace and security,https://docs.un.org/en/S/RES/2272(2016),"2272
(2016)"
A/RES/71/256,Plan Outline 2026-2028,Plan Outline,Promotion of sustained economic growth and sustainable development,https://docs.un.org/en/A/RES/71/256,71/256
S/RES/2427 (2018),Plan Outline 2026-2028,Plan Outline,Maintenance of international peace and security,https://docs.un.org/en/S/RES/2427(2018),2427 (2018)
A/RES/72/279,Plan Outline 2026-2028,Plan Outline,Promotion of sustained economic growth and sustainable development,https://docs.un.org/en/A/RES/72/279,72/279
