section	entity
Administration, Geneva	United Nations Office at Geneva
Administration, Nairobi	United Nations Office at Nairobi
Administration, Vienna	United Nations Office at Vienna
Department of Management Strategy, Policy and Compliance	Department of Management Strategy, Policy and Compliance
Department of Operational Support	Department of Operational Support
Development Account	Development Account
Disarmament	Office for Disarmament Affairs
Economic and social affairs	Department of Economic and Social Affairs
Economic and social development in Asia and the Pacific	Economic and Social Commission for Asia and the Pacific
Economic and social development in Latin America and the Caribbean	Economic Commission for Latin America and the Caribbean
Economic and social development in Western Asia	Economic and Social Commission for Western Asia
Economic development in Europe	Economic Commission for Europe
Environment	United Nations Environment Programme
General Assembly and Economic and Social Council affairs and conference management	Department for General Assembly and Conference Management
Global communications	Department of Global Communications
Human settlements	United Nations Human Settlements Programme
Internal oversight	Office of Internal Oversight Services
International Court of Justice	International Court of Justice
International drug control, crime and terrorism prevention and criminal justice	United Nations Office on Drugs and Crime
International protection, durable solutions and assistance to refugees	Office of the United Nations High Commissioner for Refugees
International Trade Centre	International Trade Centre
Least developed countries, landlocked developing countries and small island developing States	Office of the High Representative for the Least Developed Countries, Landlocked Developing Countries and Small Island Developing States
Office of Information and Communications Technology	Office of Information and Communications Technology
Palestine refugees	United Nations Relief and Works Agency for Palestine Refugees in the Near East
Peaceful uses of outer space	Office for Outer Space Affairs
Safety and security	Department of Safety and Security
Trade and development	United Nations Conference on Trade and Development
UN-Women	United Nations Entity for Gender Equality and the Empowerment of Women
United Nations system support for the African Union’s Agenda 2063: The Africa We Want	Office of the Special Adviser on Africa
Management and support services	Department of Management Strategy, Policy and Compliance, Department of Operational Support, Office of Information and Communications Technology, United Nations Office at Geneva, United Nations Office at Vienna, United Nations Office at Nairobi
Economic and social development in Africa	Economic Commission for Africa
